,ObjectId,Country,ISO2,ISO3,Unit,Measure,Date,Value,Year,Month,Day
7096,7097,World,,WLD,Millimeters,World,06/16/2001,-6.05,2001,6,16
7121,7122,World,,WLD,Millimeters,World,06/26/2001,-0.55,2001,6,26
7147,7148,World,,WLD,Millimeters,World,07/06/2001,2.35,2001,7,6
7172,7173,World,,WLD,Millimeters,World,07/16/2001,7.25,2001,7,16
7197,7198,World,,WLD,Millimeters,World,07/26/2001,4.85,2001,7,26
7222,7223,World,,WLD,Millimeters,World,08/05/2001,6.85,2001,8,5
7247,7248,World,,WLD,Millimeters,World,08/15/2001,0.55,2001,8,15
7273,7274,World,,WLD,Millimeters,World,08/25/2001,0.25,2001,8,25
7291,7292,World,,WLD,Millimeters,World,09/03/2001,5.75,2001,9,3
7320,7321,World,,WLD,Millimeters,World,09/13/2001,16.05,2001,9,13
7345,7346,World,,WLD,Millimeters,World,09/23/2001,17.05,2001,9,23
7371,7372,World,,WLD,Millimeters,World,10/03/2001,15.25,2001,10,3
7397,7398,World,,WLD,Millimeters,World,10/13/2001,8.05,2001,10,13
7422,7423,World,,WLD,Millimeters,World,10/23/2001,4.35,2001,10,23
7446,7447,World,,WLD,Millimeters,World,11/02/2001,11.95,2001,11,2
7472,7473,World,,WLD,Millimeters,World,11/12/2001,16.85,2001,11,12
7497,7498,World,,WLD,Millimeters,World,11/22/2001,14.85,2001,11,22
7522,7523,World,,WLD,Millimeters,World,12/02/2001,11.25,2001,12,2
7548,7549,World,,WLD,Millimeters,World,12/12/2001,5.05,2001,12,12
7569,7570,World,,WLD,Millimeters,World,12/21/2001,3.95,2001,12,21
7594,7595,World,,WLD,Millimeters,World,12/31/2001,10.65,2001,12,31
7620,7621,World,,WLD,Millimeters,World,01/10/2002,7.35,2002,1,10
7648,7649,World,,WLD,Millimeters,World,01/20/2002,0.36,2002,1,20
7669,7670,World,,WLD,Millimeters,World,01/20/2002,5.35,2002,1,20
7694,7695,World,,WLD,Millimeters,World,01/30/2002,5.96,2002,1,30
7716,7717,World,,WLD,Millimeters,World,01/30/2002,3.95,2002,1,30
7748,7749,World,,WLD,Millimeters,World,02/09/2002,6.56,2002,2,9
7771,7772,World,,WLD,Millimeters,World,02/09/2002,-1.35,2002,2,9
7800,7801,World,,WLD,Millimeters,World,02/19/2002,6.66,2002,2,19
7821,7822,World,,WLD,Millimeters,World,02/19/2002,0.15,2002,2,19
7850,7851,World,,WLD,Millimeters,World,03/01/2002,5.26,2002,3,1
7871,7872,World,,WLD,Millimeters,World,03/01/2002,4.75,2002,3,1
7901,7902,World,,WLD,Millimeters,World,03/11/2002,-0.94,2002,3,11
7921,7922,World,,WLD,Millimeters,World,03/11/2002,5.25,2002,3,11
7954,7955,World,,WLD,Millimeters,World,03/21/2002,0.56,2002,3,21
7971,7972,World,,WLD,Millimeters,World,03/21/2002,5.45,2002,3,21
7987,7988,World,,WLD,Millimeters,World,03/30/2002,-0.84,2002,3,30
8021,8022,World,,WLD,Millimeters,World,03/31/2002,-0.25,2002,3,31
8051,8052,World,,WLD,Millimeters,World,04/09/2002,-2.25,2002,4,9
8065,8066,World,,WLD,Millimeters,World,04/10/2002,3.86,2002,4,10
8093,8094,World,,WLD,Millimeters,World,04/19/2002,-0.54,2002,4,19
8122,8123,World,,WLD,Millimeters,World,04/20/2002,-6.05,2002,4,20
8145,8146,World,,WLD,Millimeters,World,04/29/2002,0.16,2002,4,29
8166,8167,World,,WLD,Millimeters,World,04/29/2002,0.45,2002,4,29
8197,8198,World,,WLD,Millimeters,World,05/09/2002,-0.24,2002,5,9
8219,8220,World,,WLD,Millimeters,World,05/09/2002,4.05,2002,5,9
8248,8249,World,,WLD,Millimeters,World,05/19/2002,1.56,2002,5,19
8271,8272,World,,WLD,Millimeters,World,05/19/2002,3.75,2002,5,19
8299,8300,World,,WLD,Millimeters,World,05/29/2002,0.66,2002,5,29
8320,8321,World,,WLD,Millimeters,World,05/29/2002,1.45,2002,5,29
8348,8349,World,,WLD,Millimeters,World,06/08/2002,-1.84,2002,6,8
8371,8372,World,,WLD,Millimeters,World,06/08/2002,-5.35,2002,6,8
8401,8402,World,,WLD,Millimeters,World,06/18/2002,1.76,2002,6,18
8421,8422,World,,WLD,Millimeters,World,06/18/2002,-0.85,2002,6,18
8452,8453,World,,WLD,Millimeters,World,06/28/2002,4.66,2002,6,28
8471,8472,World,,WLD,Millimeters,World,06/28/2002,9.15,2002,6,28
8498,8499,World,,WLD,Millimeters,World,07/08/2002,2.96,2002,7,8
8531,8532,World,,WLD,Millimeters,World,07/18/2002,5.96,2002,7,18
8547,8548,World,,WLD,Millimeters,World,07/18/2002,6.85,2002,7,18
8570,8571,World,,WLD,Millimeters,World,07/27/2002,9.16,2002,7,27
8586,8587,World,,WLD,Millimeters,World,07/27/2002,4.85,2002,7,27
8620,8621,World,,WLD,Millimeters,World,08/06/2002,10.56,2002,8,6
8639,8640,World,,WLD,Millimeters,World,08/06/2002,4.65,2002,8,6
8675,8676,World,,WLD,Millimeters,World,08/16/2002,12.36,2002,8,16
8692,8693,World,,WLD,Millimeters,World,08/16/2002,8.35,2002,8,16
8721,8722,World,,WLD,Millimeters,World,08/26/2002,10.56,2002,8,26
8747,8748,World,,WLD,Millimeters,World,08/28/2002,13.75,2002,8,28
